sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
liddel34,,,,2,,"Horatii Augenii de ratione curandi per sanguinis missionem libri XVII",,"Augenio, Orazio#122479807",,,,,,,,"Frankfurt am Main",,Wechel,1598,,,Therapeutik,,Book,lat,VD16,"A 4078","Aberdeen, Sir Duncan Rice Library","pi f615811 Aug",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401340,,,,1,,,
liddel35,,,,0,,"De gemmis et lapidibus pretiosis, eorumq[ue]; viribus & vsu tractatus, Italica lingua conscriptus",,"Bacci, Andrea#124534406",,,,,,,,"Frankfurt am Main",,Becker,1603,,,Pharmazie,,Book,lat,VD17,39:117694Q,"Aberdeen, Sir Duncan Rice Library","pi 5401 Joan",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1146567,,,,1,,,
liddel36,,,,0,,"Basilii Magni oratio ad adolescentes",,"Basilius Caesariensis#118637797",,,,,,,,Helmstedt,,Lucius,1599,,,Theologie,,Book,grc;lat,VD16,"ZV 1100","Aberdeen, Sir Duncan Rice Library","pi 089 u",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},688349,,,,1,,,
liddel37,,,,0,,"Caspari Bauhini Basil. Medici & Profess. De corporis humani fabrica libri IIII",,"Bauhin, Caspar#11884962X",,,,,,,,Basel,,Henricpetri,1590,,,Anatomie,,Book,lat,VD16,"B 844","Aberdeen, Sir Duncan Rice Library","pi 611 Bau c",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398002,,,,1,,,
liddel38,,,,0,,"Bernardi Gordonii opus, Lilium medicinae inscriptum, de morborum prope omnium curatione",,"Bernardus de Gordonio#100937829",,,,,,,,Lyon,,Rouille,1578,,,Therapeutik,,Book,lat,VD17,14:691285E,"Aberdeen, Sir Duncan Rice Library","pi 616 Gor 2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401388,,,,1,,,
liddel39,,,,0,,"Bertrucii Bononiensis compendium sive collectorium artis medicae, tam practicae quam speculativae",,"Nicolaus Bertrucius#10097029X",,,,,,,,Köln,,Novesianum,1537,,,Medizin,,Book,lat,VD16,"B 2201","Aberdeen, Sir Duncan Rice Library","pi 6102 Ber",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398078,,,,1,,,
liddel40,,,,0,,"De peste quaestiones duae explicatae : una, sitne contagiosa, alter, an & quatenus sit Christianis per secessionem vitanda",,"Bèze, Théodore de#118662864",,,,,,,,Genf,,Vignon,1579,,,Pathologie,,Book,lat,GBV,15036220X,"Aberdeen, Sir Duncan Rice Library","pi 61089 j",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},397945,,,,1,,,
liddel41,,,,0,,"Biblia. Das ist : die ganze heylige Shrifft, Teutsch, Doct. Mart. Luth",,,,,,,,,,"Frankfurt am Main",,Fischer,1595,,,Theologie,,Book,ger,VD17,23:272343H,"Aberdeen, Sir Duncan Rice Library","pi f22:43 595",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},852514,,,,1,,,
liddel42,,,,0,,"Io. Bodini methodus ad facilem historiarum cognitionem",,"Bodin, Jean#118512307",,,,,,,,Lyon,,Mareschal,1591,,,Geschichte,,Book,lat,VD16,"B 6276","Aberdeen, Sir Duncan Rice Library","pi 901 Bod 2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401833,,,,1,,,
liddel43,,,,0,,"Pestordnung in der Stadt Hamburg",,"Böckel, Johann#116223324",,,,,,,,Hamburg,,Lucius,1597,,,Epidemiologie,,Book,ger,VD16,"B 6296","Aberdeen, Sir Duncan Rice Library","pi 614089 a",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398064,,,,1,,,
